threads,events_per_second
1,541.85
1,543.10
1,542.01
1,542.67
1,540.87
1,544.42
1,543.41
1,542.73
1,541.56
1,522.19
1,543.89
1,544.81
1,528.10
1,538.34
1,542.88
1,541.96
1,543.05
1,544.36
1,541.55
1,543.03
1,538.53
1,485.35
1,476.77
1,541.55
1,525.18
1,542.66
1,544.10
1,543.52
1,543.59
1,531.89
2,916.93
2,841.95
2,752.56
2,747.37
2,574.02
2,575.23
2,569.04
2,711.24
2,836.94
2,920.17
2,926.70
2,904.09
2,849.97
2,852.54
2,868.31
2,899.07
2,932.14
2,899.06
2,888.72
2,858.18
2,831.38
2,840.29
2,891.13
2,888.64
2,936.82
2,885.98
2,851.99
2,800.78
2,823.33
2,834.12
4,1386.39
4,1376.08
4,1229.00
4,1249.12
4,1198.56
4,1260.54
4,1335.64
4,1420.58
4,1434.50
4,1357.50
4,1222.04
4,1214.41
4,1264.31
4,1344.07
4,1415.87
4,1431.32
4,1344.71
4,1263.39
4,1217.11
4,1286.78
4,1379.89
4,1407.59
4,1296.75
4,1299.59
4,1213.44
4,1188.24
4,1227.05
4,1348.29
4,1423.95
4,1453.37
8,1979.20
8,1841.28
8,1695.14
8,1570.81
8,1680.84
8,1841.27
8,1955.34
8,2001.63
8,1892.28
8,1765.76
8,1711.31
8,1830.69
8,1922.18
8,1917.37
8,1789.40
8,1695.91
8,1744.69
8,1922.70
8,1983.74
8,1690.19
8,1406.15
8,1025.37
8,1553.47
8,1703.95
8,1879.65
8,1268.78
8,1222.83
8,1150.95
8,1507.10
8,1721.79
